code,raw_code,date,action_day,time,time_raw,status,price,open,high,low,pre_close,high_limited,low_limited,volume,turnover,num_trades,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,BidPrice6,BidVolume6,AskPrice6,AskVolume6,BidPrice7,BidVolume7,AskPrice7,AskVolume7,BidPrice8,BidVolume8,AskPrice8,AskVolume8,BidPrice9,BidVolume9,AskPrice9,AskVolume9,BidPrice10,BidVolume10,AskPrice10,AskVolume10,total_bid_vol,total_ask_vol,recv_time
000931.SZ,000931,20260420,20260420,08:00:00.000,80000000,0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:21.189
000931.SZ,000931,20260420,20260420,08:29:00.000,82900000,0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:21.189
000931.SZ,000931,20260420,20260420,08:29:24.000,82924000,70,0.0,0.0,0.0,0.0,5.2,5.72,4.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:21.189
000931.SZ,000931,20260420,20260420,09:15:00.000,91500000,73,0.0,0.0,0.0,0.0,5.2,5.72,4.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:21.189
000931.SZ,000931,20260420,20260420,09:15:09.000,91509000,73,0.0,0.0,0.0,0.0,5.2,5.72,4.68,0,0.0,0,5.2,2632,5.2,2632,0.0,3668,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:24.865
000931.SZ,000931,20260420,20260420,09:15:27.000,91527000,73,0.0,0.0,0.0,0.0,5.2,5.72,4.68,0,0.0,0,5.22,3100,5.22,3100,0.0,0,0.0,24532,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:25.279
000931.SZ,000931,20260420,20260420,09:15:45.000,91545000,73,0.0,0.0,0.0,0.0,5.2,5.72,4.68,0,0.0,0,5.22,4100,5.22,4100,0.0,0,0.0,23532,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:25.279
000931.SZ,000931,20260420,20260420,09:15:54.000,91554000,73,0.0,0.0,0.0,0.0,5.2,5.72,4.68,0,0.0,0,5.22,6500,5.22,6500,0.0,0,0.0,21232,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:25.499
000931.SZ,000931,20260420,20260420,09:16:03.000,91603000,73,0.0,0.0,0.0,0.0,5.2,5.72,4.68,0,0.0,0,5.22,6500,5.22,6500,0.0,0,0.0,21532,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:25.499
000931.SZ,000931,20260420,20260420,09:16:21.000,91621000,73,0.0,0.0,0.0,0.0,5.2,5.72,4.68,0,0.0,0,5.22,8600,5.22,8600,0.0,0,0.0,19432,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:32:25.499
