,AS P&L (CNY),Sym P&L (CNY),AS Sharpe,Sym Sharpe,AS Max|q| (lots),Sym Max|q| (lots),AS Avg spread,Sym Avg spread
20260420,23.60045915949354,1.656465123181988,0.0628167291995369,8.467771610719835e-05,3.0,35.0,0.011112955348662466,0.010254168158946086
20260421,13.11734978138935,-29.88999641853161,0.044397765457624506,-0.017092085472681713,2.0,7.0,0.01111397694966268,0.010254168158946086
20260422,1.7846493806231365,-24.826454378787275,0.005090894149342995,-0.006127853999536028,2.0,14.0,0.011121599055551492,0.010254168158946085
20260423,16.079186355027502,-13.326454378794097,0.047615106208858664,-0.00738690279404372,4.0,10.0,0.011158797624204372,0.010254168158946088
Average,13.645411169133382,-16.59661001323275,0.03998012375384077,-0.007630541137538565,2.75,16.5,0.011126832244520253,0.010254168158946086
