γ,Mean P&L (CNY),Std P&L (CNY),Sharpe,Max|q| (lots),σ_q (lots),Avg spread (CNY)
0.001,-28.482885322610116,11.752927425020566,-0.009776482317432639,11.5,2.2811652781453877,0.010262894790993593
0.01,-1.1488913692020901,9.084462411317785,-0.0019125855161225376,3.5,0.7888915553389358,0.010341434486667087
0.1,13.645411169133382,7.841918789092034,0.03998012375384077,2.75,0.3106946819840635,0.011126832244520253
0.5,12.361903638323085,7.253123579113927,0.03267180386937762,2.0,0.2411914920999611,0.01461750651553052
1.0,4.187487383610716,6.817214811879517,0.009981323264137202,1.0,0.2123348889773638,0.0189808895394267
