time_str,time_norm,event_type,price,volume,mid_price,inventory,cash,pnl
09:30:00.000,0.0,PLACE_BID,5.169320638733238,100.0,5.175,0.0,0.0,0.0
09:30:00.000,0.0,PLACE_ASK,5.180679361266762,100.0,5.175,0.0,0.0,0.0
09:30:01.710,0.00011874999999993937,FILL_BID,5.169320638733238,100.0,5.175,100.0,-516.9320638733237,0.5679361266762726
09:30:03.000,0.00020833333333333335,CANCEL_ASK,5.180679361266762,100.0,5.165,100.0,-516.9320638733237,-0.4320638733237274
09:30:03.000,0.00020833333333333335,PLACE_BID,5.158213802552132,100.0,5.165,100.0,-516.9320638733237,-0.4320638733237274
09:30:03.000,0.00020833333333333335,PLACE_ASK,5.169572294422703,100.0,5.165,100.0,-516.9320638733237,-0.4320638733237274
09:30:03.250,0.00022569444444444443,FILL_ASK,5.169572294422703,100.0,5.165,0.0,0.02516556894659061,0.02516556894659061
09:30:06.000,0.0004166666666666667,CANCEL_BID,5.158213802552132,100.0,5.165,0.0,0.02516556894659061,0.02516556894659061
09:30:06.000,0.0004166666666666667,PLACE_BID,5.159320869396192,100.0,5.165,0.0,0.02516556894659061,0.02516556894659061
09:30:06.000,0.0004166666666666667,PLACE_ASK,5.1706791306038085,100.0,5.165,0.0,0.02516556894659061,0.02516556894659061
09:30:06.300,0.0004375000000002021,FILL_BID,5.159320869396192,100.0,5.165,100.0,-515.9069213706725,0.593078629327465
09:30:09.000,0.000625,CANCEL_ASK,5.1706791306038085,100.0,5.155,100.0,-515.9069213706725,-0.406921370672535
09:30:09.000,0.000625,PLACE_BID,5.148214494540992,100.0,5.155,100.0,-515.9069213706725,-0.406921370672535
09:30:09.000,0.000625,PLACE_ASK,5.159572525085657,100.0,5.155,100.0,-515.9069213706725,-0.406921370672535
09:30:11.780,0.0008180555555554747,FILL_BID,5.148214494540992,100.0,5.155,200.0,-1030.7283708247717,0.27162917522832686
09:30:12.000,0.0008333333333333334,CANCEL_ASK,5.159572525085657,100.0,5.145,200.0,-1030.7283708247717,-1.7283708247716731
09:30:12.000,0.0008333333333333334,PLACE_BID,5.137108581011698,100.0,5.145,200.0,-1030.7283708247717,-1.7283708247716731
09:30:12.000,0.0008333333333333334,PLACE_ASK,5.148466380893409,100.0,5.145,200.0,-1030.7283708247717,-1.7283708247716731
09:30:12.640,0.0008777777777777373,FILL_ASK,5.148466380893409,100.0,5.145,100.0,-515.8817327354308,-1.3817327354307736
09:30:15.000,0.0010416666666666667,CANCEL_BID,5.137108581011698,100.0,5.145,100.0,-515.8817327354308,-1.3817327354307736
09:30:15.000,0.0010416666666666667,PLACE_BID,5.138215186529851,100.0,5.145,100.0,-515.8817327354308,-1.3817327354307736
09:30:15.000,0.0010416666666666667,PLACE_ASK,5.149572755748609,100.0,5.145,100.0,-515.8817327354308,-1.3817327354307736
09:30:15.040,0.0010444444444445051,FILL_ASK,5.149572755748609,100.0,5.145,0.0,-0.9244571605698866,-0.9244571605698866
09:30:18.000,0.00125,CANCEL_BID,5.138215186529851,100.0,5.145,0.0,-0.9244571605698866,-0.9244571605698866
09:30:18.000,0.00125,PLACE_BID,5.1393213307220975,100.0,5.145,0.0,-0.9244571605698866,-0.9244571605698866
09:30:18.000,0.00125,PLACE_ASK,5.150678669277902,100.0,5.145,0.0,-0.9244571605698866,-0.9244571605698866
09:30:21.000,0.0014583333333333334,CANCEL_BID,5.1393213307220975,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:21.000,0.0014583333333333334,CANCEL_ASK,5.150678669277902,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:21.000,0.0014583333333333334,PLACE_BID,5.129321446053574,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:21.000,0.0014583333333333334,PLACE_ASK,5.140678553946426,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:24.000,0.0016666666666666668,CANCEL_BID,5.129321446053574,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:24.000,0.0016666666666666668,CANCEL_ASK,5.140678553946426,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:24.000,0.0016666666666666668,PLACE_BID,5.1293215613850505,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:24.000,0.0016666666666666668,PLACE_ASK,5.140678438614949,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:27.000,0.001875,CANCEL_BID,5.1293215613850505,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:27.000,0.001875,CANCEL_ASK,5.140678438614949,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:27.000,0.001875,PLACE_BID,5.129321676716527,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:27.000,0.001875,PLACE_ASK,5.140678323283472,100.0,5.135,0.0,-0.9244571605698866,-0.9244571605698866
09:30:28.920,0.002008333333333212,FILL_BID,5.129321676716527,100.0,5.135,100.0,-513.8566248322226,-0.3566248322225647
09:30:30.000,0.0020833333333333333,CANCEL_ASK,5.140678323283472,100.0,5.125,100.0,-513.8566248322226,-1.3566248322225647
09:30:30.000,0.0020833333333333333,PLACE_BID,5.118216916502001,100.0,5.125,100.0,-513.8566248322226,-1.3566248322225647
09:30:30.000,0.0020833333333333333,PLACE_ASK,5.129573332405992,100.0,5.125,100.0,-513.8566248322226,-1.3566248322225647
09:30:30.250,0.0021006944444444445,FILL_ASK,5.129573332405992,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:33.000,0.0022916666666666667,CANCEL_BID,5.118216916502001,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:33.000,0.0022916666666666667,PLACE_BID,5.119321907379481,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:33.000,0.0022916666666666667,PLACE_ASK,5.130678092620519,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:36.000,0.0025,CANCEL_BID,5.119321907379481,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:36.000,0.0025,CANCEL_ASK,5.130678092620519,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:36.000,0.0025,PLACE_BID,5.119322022710957,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:36.000,0.0025,PLACE_ASK,5.130677977289043,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:39.000,0.0027083333333333334,CANCEL_BID,5.119322022710957,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:39.000,0.0027083333333333334,CANCEL_ASK,5.130677977289043,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:39.000,0.0027083333333333334,PLACE_BID,5.119322138042434,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:39.000,0.0027083333333333334,PLACE_ASK,5.130677861957566,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:42.000,0.002916666666666667,CANCEL_BID,5.119322138042434,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:42.000,0.002916666666666667,CANCEL_ASK,5.130677861957566,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:42.000,0.002916666666666667,PLACE_BID,5.119322253373911,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:42.000,0.002916666666666667,PLACE_ASK,5.130677746626089,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:45.000,0.003125,CANCEL_BID,5.119322253373911,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:45.000,0.003125,CANCEL_ASK,5.130677746626089,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:45.000,0.003125,PLACE_BID,5.1193223687053875,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:45.000,0.003125,PLACE_ASK,5.1306776312946125,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
09:30:48.000,0.0033333333333333335,CANCEL_BID,5.1193223687053875,100.0,5.125,0.0,-0.899291591623296,-0.899291591623296
