,sigma,A,kappa
20260420,0.11157956802210763,91195.03499265836,197.2868217054271
20260421,0.09617692030835598,43307.08967401977,195.0480040424473
20260422,0.12134661099511672,48781.266087530224,196.24413145540026
20260423,0.0917877987534294,43000.44222563618,191.59159159159373
Average,0.10522272451975244,56570.95824496114,195.0426371987171
