code,time,time_raw,index,price,volume,turnover,bsflag,ask_order,bid_order,biz_index,recv_time
000931.SZ,09:25:00.000,92500000,637826,5.19,1300,0.6747,S,468109,315462,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637827,5.19,100,0.0519,B,468109,600875,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637828,5.19,500,0.2595,S,468109,322062,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637829,5.19,1800,0.9342,S,482560,322062,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637830,5.19,100,0.0519,S,570243,322062,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637831,5.19,2100,1.0899,S,570243,332719,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637832,5.19,3800,1.9722,S,570243,547100,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637833,5.19,500,0.2595,S,570997,547100,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637834,5.19,3400,1.7646,B,570997,614782,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637835,5.19,200,0.1038,B,570997,603725,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637836,5.19,200,0.1038,B,570997,604587,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637837,5.19,1000,0.519,S,570997,320828,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637838,5.19,800,0.4152,S,570997,99053,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637839,5.19,1000,0.519,S,570997,147678,0,15:32:30.251
000931.SZ,09:25:00.000,92500000,637840,5.19,600,0.3114,S,570997,561862,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637841,5.19,2300,1.1937,B,254605,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637842,5.19,200,0.1038,B,424163,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637843,5.19,200,0.1038,B,476626,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637844,5.19,100,0.0519,B,515562,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637845,5.19,100,0.0519,B,526917,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637846,5.19,100,0.0519,S,610803,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637847,5.19,1300,0.6747,S,621554,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637848,5.19,500,0.2595,S,602320,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637849,5.19,100,0.0519,S,603202,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637850,5.19,100,0.0519,S,604218,596394,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637851,5.19,100,0.0519,S,604218,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637852,5.19,1000,0.519,S,605116,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637853,5.19,300,0.1557,S,606310,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637854,5.19,100,0.0519,B,324355,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637855,5.19,200,0.1038,S,425075,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637856,5.19,1000,0.519,S,575943,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637857,5.19,600,0.3114,S,582380,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637858,5.19,200,0.1038,S,610843,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637859,5.19,200,0.1038,S,610984,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637860,5.19,5800,3.0102,S,618587,346988,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637861,5.19,1200,0.6228,S,618587,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637862,5.19,6100,3.1659,S,598355,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637863,5.19,100,0.0519,S,607177,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637864,5.19,100,0.0519,S,607389,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637865,5.19,100,0.0519,S,607628,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637866,5.19,100,0.0519,S,607658,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637867,5.19,100,0.0519,S,608062,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637868,5.19,1300,0.6747,S,608649,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637869,5.19,100,0.0519,S,608962,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637870,5.19,100,0.0519,S,609179,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637871,5.19,100,0.0519,S,609586,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637872,5.19,100,0.0519,S,609588,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637873,5.19,100,0.0519,S,610132,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637874,5.19,100,0.0519,S,610251,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637875,5.19,100,0.0519,S,610262,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637876,5.19,100,0.0519,S,610644,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637877,5.19,100,0.0519,S,611404,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637878,5.19,100,0.0519,S,611412,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637879,5.19,100,0.0519,S,611429,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637880,5.19,100,0.0519,S,611482,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637881,5.19,100,0.0519,S,611517,474135,0,15:32:30.253
000931.SZ,09:25:00.000,92500000,637882,5.19,100,0.0519,S,611583,474135,0,15:32:30.253
