code,time,time_raw,order,price,volume,order_kind,function_code,biz_index,recv_time
000931.SZ,09:15:00.040,91500040,1974,5.59,3800,0,S,0,18:03:15.842
000931.SZ,09:15:00.040,91500040,4568,5.59,100,0,S,0,18:03:15.842
000931.SZ,09:15:00.050,91500050,7359,5.2,1200,0,S,0,18:03:15.842
000931.SZ,09:15:00.050,91500050,8220,5.18,2400,0,S,0,18:03:15.842
000931.SZ,09:15:00.050,91500050,8621,5.24,2000,0,S,0,18:03:15.842
000931.SZ,09:15:00.060,91500060,12650,5.18,5000,0,S,0,18:03:16.078
000931.SZ,09:15:00.060,91500060,13858,5.59,1000,0,S,0,18:03:16.078
000931.SZ,09:15:00.070,91500070,15377,5.59,600,0,S,0,18:03:16.078
000931.SZ,09:15:00.070,91500070,15999,5.59,400,0,S,0,18:03:16.078
000931.SZ,09:15:00.080,91500080,20291,5.59,100,0,S,0,18:03:16.078
000931.SZ,09:15:00.080,91500080,21090,5.58,50000,0,S,0,18:03:16.078
000931.SZ,09:15:00.080,91500080,21567,5.5,1000,0,S,0,18:03:16.078
000931.SZ,09:15:00.090,91500090,23022,5.23,1200,0,S,0,18:03:16.078
000931.SZ,09:15:00.090,91500090,23041,5.26,2300,0,S,0,18:03:16.078
000931.SZ,09:15:00.090,91500090,23042,5.27,4600,0,S,0,18:03:16.078
000931.SZ,09:15:00.090,91500090,23043,5.33,1100,0,S,0,18:03:16.078
000931.SZ,09:15:00.090,91500090,23049,5.37,1200,0,S,0,18:03:16.078
000931.SZ,09:15:00.090,91500090,23570,5.58,5000,0,S,0,18:03:16.078
000931.SZ,09:15:00.090,91500090,24997,5.01,500,0,B,0,18:03:16.078
000931.SZ,09:15:00.090,91500090,25166,5.0,500,0,B,0,18:03:16.078
000931.SZ,09:15:00.100,91500100,28793,5.06,5600,0,S,0,18:03:16.281
000931.SZ,09:15:00.100,91500100,30540,5.18,4000,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,31611,5.48,1500,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,31613,4.61,1800,0,B,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,32090,5.58,5000,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,32167,4.99,5000,0,B,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,32169,5.16,5000,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,32171,5.18,5000,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,32172,5.19,5000,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,32173,5.23,5000,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,32174,5.21,5000,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,32264,5.26,10000,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,32266,5.28,5000,0,S,0,18:03:16.281
000931.SZ,09:15:00.110,91500110,33623,5.02,5000,0,B,0,18:03:16.281
