code,time,time_raw,index,price,volume,turnover,bsflag,ask_order,bid_order,biz_index,recv_time
000931.SZ,09:15:44.370,91544370,289991,0.0,9700,0.0,?,284969,0,0,15:04:20.364
000931.SZ,09:16:25.980,91625980,302446,0.0,500,0.0,?,295852,0,0,15:04:20.610
000931.SZ,09:19:32.860,91932860,372863,0.0,10000,0.0,?,354594,0,0,15:04:22.037
000931.SZ,09:19:54.720,91954720,382218,0.0,100,0.0,?,0,371323,0,15:04:22.037
000931.SZ,09:25:00.000,92500000,590215,5.01,500,0.2505,B,284927,388543,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590216,5.01,1200,0.6012,B,290648,388543,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590217,5.01,700,0.3507,B,300097,388543,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590218,5.01,5200,2.6052,S,461569,388543,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590219,5.01,6600,3.3066,B,461569,550386,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590220,5.01,1300,0.6513,B,481036,550386,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590221,5.01,300,0.1503,B,481036,564293,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590222,5.01,500,0.2505,B,510159,564293,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590223,5.01,200,0.1002,B,510159,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590224,5.01,100,0.0501,B,555786,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590225,5.01,100,0.0501,B,555935,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590226,5.01,100,0.0501,B,557021,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590227,5.01,100,0.0501,B,557633,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590228,5.01,100,0.0501,B,558105,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590229,5.01,100,0.0501,B,558189,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590230,5.01,100,0.0501,B,558358,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590231,5.01,100,0.0501,B,558426,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590232,5.01,100,0.0501,B,558441,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590233,5.01,100,0.0501,B,558481,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590234,5.01,100,0.0501,B,559375,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590235,5.01,100,0.0501,B,560773,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590236,5.01,100,0.0501,B,560788,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590237,5.01,100,0.0501,B,560801,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590238,5.01,100,0.0501,B,561732,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590239,5.01,100,0.0501,B,562121,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590240,5.01,100,0.0501,B,562152,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590241,5.01,100,0.0501,B,562635,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590242,5.01,100,0.0501,B,563536,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590243,5.01,100,0.0501,B,563992,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590244,5.01,100,0.0501,B,564001,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590245,5.01,100,0.0501,B,564038,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590246,5.01,100,0.0501,B,564288,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590247,5.01,100,0.0501,B,564447,565681,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590248,5.01,100,0.0501,B,564447,566148,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590249,5.01,100,0.0501,B,564501,566148,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590250,5.01,100,0.0501,B,565209,566148,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590251,5.01,100,0.0501,B,565391,566148,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590252,5.01,100,0.0501,S,568126,566148,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590253,5.01,100,0.0501,S,568952,566148,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590254,5.01,200,0.1002,S,568952,563301,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590255,5.01,100,0.0501,S,569050,563301,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590256,5.01,100,0.0501,S,569860,563301,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590257,5.01,100,0.0501,S,570701,563301,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590258,5.01,100,0.0501,S,570815,563301,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590259,5.01,100,0.0501,S,571336,563301,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590260,5.01,100,0.0501,S,573355,563301,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590261,5.01,100,0.0501,S,574369,563301,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590262,5.01,3100,1.5531,S,569786,563301,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590263,5.01,1900,0.9519,S,569786,457869,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590264,5.01,100,0.0501,B,318212,457869,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590265,5.01,400,0.2004,B,318212,459486,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590266,5.01,1600,0.8016,S,466986,459486,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590267,5.01,100,0.0501,B,466986,555857,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590268,5.01,100,0.0501,B,466986,564152,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590269,5.01,300,0.1503,B,466986,565325,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590270,5.01,100,0.0501,B,466986,565400,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590271,5.01,100,0.0501,B,466986,558130,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590272,5.01,2700,1.3527,B,466986,574018,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590273,5.01,3300,1.6533,B,502849,574018,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590274,5.01,4400,2.2044,B,502849,574191,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590275,5.01,100,0.0501,S,502849,45336,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590276,5.01,100,0.0501,S,502849,49126,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590277,5.01,300,0.1503,S,502849,72918,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590278,5.01,3300,1.6533,S,502849,385686,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590279,5.01,8300,4.1583,B,502849,505484,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590280,5.01,10000,5.01,S,502849,401544,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590281,5.01,500,0.2505,S,502849,418049,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590282,5.01,1700,0.8517,S,502849,436028,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590283,5.01,1900,0.9519,B,249199,436028,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590284,5.01,1000,0.501,B,249199,542490,0,15:04:26.209
000931.SZ,09:25:00.000,92500000,590285,5.01,6000,3.006,B,249199,567992,0,15:04:26.209
000931.SZ,09:30:00.000,93000000,682325,5.0,100,0.05,S,682324,73114,0,15:04:26.778
000931.SZ,09:30:00.030,93000030,686052,5.0,100,0.05,S,686051,73114,0,15:04:26.904
000931.SZ,09:30:00.030,93000030,688030,5.0,100,0.05,S,688029,73114,0,15:04:26.904
000931.SZ,09:30:00.040,93000040,688099,5.0,100,0.05,S,688098,73114,0,15:04:26.904
000931.SZ,09:30:00.060,93000060,701557,5.0,100,0.05,S,701556,73114,0,15:04:27.157
000931.SZ,09:30:00.060,93000060,703238,5.0,200,0.1,S,703237,73114,0,15:04:27.177
000931.SZ,09:30:00.060,93000060,703392,5.0,100,0.05,S,703391,73114,0,15:04:27.177
000931.SZ,09:30:00.070,93000070,709240,5.0,100,0.05,S,709239,73114,0,15:04:27.345
000931.SZ,09:30:00.080,93000080,716887,5.0,100,0.05,S,716886,73114,0,15:04:27.572
000931.SZ,09:30:00.080,93000080,716892,5.0,100,0.05,S,716891,73114,0,15:04:27.572
000931.SZ,09:30:00.090,93000090,723197,0.0,500,0.0,?,0,26601,0,15:04:27.572
000931.SZ,09:30:00.100,93000100,729290,5.0,900,0.45,S,729289,73114,0,15:04:27.762
000931.SZ,09:30:00.100,93000100,729291,5.0,200,0.1,S,729289,156632,0,15:04:27.762
000931.SZ,09:30:00.100,93000100,729292,5.0,500,0.25,S,729289,324132,0,15:04:27.762
000931.SZ,09:30:00.100,93000100,729293,5.0,300,0.15,S,729289,348472,0,15:04:27.762
000931.SZ,09:30:00.100,93000100,729294,5.0,6100,3.05,S,729289,494268,0,15:04:27.762
000931.SZ,09:30:00.110,93000110,734406,4.98,100,0.0498,S,734405,156637,0,15:04:27.762
000931.SZ,09:30:00.110,93000110,734412,4.98,100,0.0498,S,734411,156637,0,15:04:27.762
000931.SZ,09:30:00.110,93000110,735055,4.98,100,0.0498,S,735054,184623,0,15:04:27.762
000931.SZ,09:30:00.110,93000110,735201,4.98,100,0.0498,S,735200,184623,0,15:04:27.762
000931.SZ,09:30:00.160,93000160,763481,4.98,100,0.0498,S,763480,184623,0,15:04:28.250
000931.SZ,09:30:00.190,93000190,779564,0.0,2000,0.0,?,0,320959,0,15:04:28.516
000931.SZ,09:30:00.300,93000300,819675,5.0,4000,2.0,B,729289,819674,0,15:04:29.170
000931.SZ,09:30:00.400,93000400,847771,5.0,1700,0.85,B,729289,847770,0,15:04:29.440
000931.SZ,09:30:00.400,93000400,849180,4.98,100,0.0498,S,849179,184623,0,15:04:29.595
000931.SZ,09:30:00.400,93000400,849181,4.98,600,0.2988,S,849179,374685,0,15:04:29.595
000931.SZ,09:30:00.400,93000400,849182,4.98,3000,1.494,S,849179,738915,0,15:04:29.595
000931.SZ,09:30:00.400,93000400,849183,4.98,500,0.249,S,849179,796052,0,15:04:29.595
000931.SZ,09:30:00.410,93000410,851769,4.98,600,0.2988,B,849179,851768,0,15:04:29.595
000931.SZ,09:30:00.410,93000410,851770,5.0,2000,1.0,B,729289,851768,0,15:04:29.595
000931.SZ,09:30:00.610,93000610,888374,4.99,300,0.1497,S,888373,858140,0,15:04:30.202
000931.SZ,09:30:00.610,93000610,888387,4.99,1600,0.7984,S,888386,858140,0,15:04:30.202
000931.SZ,09:30:00.860,93000860,928641,4.98,100,0.0498,B,923462,928640,0,15:04:30.761
000931.SZ,09:30:00.940,93000940,940446,4.98,100,0.0498,S,940445,928640,0,15:04:30.901
000931.SZ,09:30:00.960,93000960,942625,4.98,100,0.0498,S,942624,928640,0,15:04:31.028
000931.SZ,09:30:00.960,93000960,942626,4.98,700,0.3486,S,942624,928698,0,15:04:31.028
000931.SZ,09:30:00.970,93000970,944775,4.98,500,0.249,B,942624,944774,0,15:04:31.028
000931.SZ,09:30:00.990,93000990,946341,4.98,300,0.1494,B,942624,946340,0,15:04:31.028
000931.SZ,09:30:00.990,93000990,946342,4.99,100,0.0499,B,888386,946340,0,15:04:31.028
000931.SZ,09:30:01.130,93001130,964297,4.99,300,0.1497,B,888386,964296,0,15:04:31.295
000931.SZ,09:30:01.130,93001130,964298,4.99,800,0.3992,B,888464,964296,0,15:04:31.295
000931.SZ,09:30:01.130,93001130,964299,4.99,100,0.0499,B,888472,964296,0,15:04:31.295
000931.SZ,09:30:01.130,93001130,964300,4.99,100,0.0499,B,922537,964296,0,15:04:31.295
000931.SZ,09:30:01.130,93001130,964301,4.99,700,0.3493,B,960349,964296,0,15:04:31.295
000931.SZ,09:30:01.600,93001600,1013598,4.99,300,0.1497,B,960349,1013597,0,15:04:31.786
000931.SZ,09:30:01.830,93001830,1035746,4.98,100,0.0498,S,1035745,985575,0,15:04:31.873
000931.SZ,09:30:01.860,93001860,1038791,4.99,700,0.3493,B,960349,1038790,0,15:04:31.915
000931.SZ,09:30:02.070,93002070,1057664,4.98,200,0.0996,S,1057663,985575,0,15:04:32.017
000931.SZ,09:30:02.190,93002190,1067547,4.98,400,0.1992,S,1067546,985575,0,15:04:32.057
000931.SZ,09:30:02.190,93002190,1067548,4.98,100,0.0498,S,1067546,986226,0,15:04:32.057
000931.SZ,09:30:02.200,93002200,1068069,4.98,400,0.1992,S,1068068,986226,0,15:04:32.057
000931.SZ,09:30:02.200,93002200,1068070,4.98,600,0.2988,S,1068068,999114,0,15:04:32.057
000931.SZ,09:30:02.200,93002200,1068071,4.98,500,0.249,S,1068068,1008055,0,15:04:32.057
000931.SZ,09:30:02.320,93002320,1076418,4.99,300,0.1497,B,960349,1076417,0,15:04:32.099
000931.SZ,09:30:02.320,93002320,1076419,4.99,1500,0.7485,B,1030594,1076417,0,15:04:32.099
000931.SZ,09:30:02.420,93002420,1087971,4.99,1600,0.7984,S,1087970,1076417,0,15:04:32.154
000931.SZ,09:30:03.290,93003290,1147010,4.99,1600,0.7984,S,1147009,1076417,0,15:04:32.439
000931.SZ,09:30:03.290,93003290,1147011,4.99,600,0.2994,S,1147009,1097502,0,15:04:32.439
000931.SZ,09:30:03.290,93003290,1147045,4.99,1700,0.8483,S,1147044,1097502,0,15:04:32.439
000931.SZ,09:30:03.290,93003290,1147054,4.99,600,0.2994,S,1147053,1097502,0,15:04:32.439
000931.SZ,09:30:03.290,93003290,1147055,4.99,800,0.3992,S,1147053,1106592,0,15:04:32.439
000931.SZ,09:30:03.290,93003290,1147056,4.99,100,0.0499,S,1147053,1126601,0,15:04:32.439
000931.SZ,09:30:03.300,93003300,1147510,4.98,200,0.0996,S,1147509,1008055,0,15:04:32.439
000931.SZ,09:30:03.340,93003340,1150173,4.99,700,0.3493,B,1147053,1150172,0,15:04:32.466
000931.SZ,09:30:03.370,93003370,1152872,4.99,400,0.1996,B,1147053,1152871,0,15:04:32.466
000931.SZ,09:30:03.380,93003380,1154820,4.98,1400,0.6972,S,1154819,1008055,0,15:04:32.466
000931.SZ,09:30:03.380,93003380,1154821,4.98,400,0.1992,S,1154819,1008060,0,15:04:32.466
000931.SZ,09:30:03.380,93003380,1154822,4.98,600,0.2988,S,1154819,1058594,0,15:04:32.466
000931.SZ,09:30:03.380,93003380,1154823,4.98,400,0.1992,S,1154819,1058836,0,15:04:32.466
000931.SZ,09:30:03.380,93003380,1154824,4.98,800,0.3984,S,1154819,1067493,0,15:04:32.466
000931.SZ,09:30:03.380,93003380,1154825,4.98,400,0.1992,S,1154819,1117910,0,15:04:32.466
000931.SZ,09:30:03.530,93003530,1166707,0.0,500,0.0,?,0,826767,0,15:04:32.556
000931.SZ,09:30:03.610,93003610,1171705,0.0,100,0.0,?,734824,0,0,15:04:32.556
000931.SZ,09:30:03.610,93003610,1171990,0.0,100,0.0,?,693352,0,0,15:04:32.556
000931.SZ,09:30:03.620,93003620,1172156,0.0,200,0.0,?,734556,0,0,15:04:32.556
000931.SZ,09:30:03.620,93003620,1172362,0.0,300,0.0,?,688508,0,0,15:04:32.556
000931.SZ,09:30:03.620,93003620,1172498,0.0,100,0.0,?,693616,0,0,15:04:32.556
000931.SZ,09:30:03.620,93003620,1172595,0.0,300,0.0,?,994230,0,0,15:04:32.556
000931.SZ,09:30:03.620,93003620,1172641,0.0,300,0.0,?,957863,0,0,15:04:32.556
000931.SZ,09:30:03.620,93003620,1172705,0.0,200,0.0,?,709566,0,0,15:04:32.556
000931.SZ,09:30:03.620,93003620,1172941,0.0,200,0.0,?,687046,0,0,15:04:32.556
000931.SZ,09:30:03.770,93003770,1181651,0.0,300,0.0,?,1075110,0,0,15:04:32.597
000931.SZ,09:30:03.770,93003770,1181768,0.0,100,0.0,?,697789,0,0,15:04:32.597
000931.SZ,09:30:03.770,93003770,1181996,0.0,700,0.0,?,685082,0,0,15:04:32.597
000931.SZ,09:30:03.770,93003770,1181998,0.0,100,0.0,?,693055,0,0,15:04:32.597
000931.SZ,09:30:03.780,93003780,1182821,0.0,200,0.0,?,703586,0,0,15:04:32.597
000931.SZ,09:30:03.780,93003780,1183151,0.0,100,0.0,?,722585,0,0,15:04:32.597
000931.SZ,09:30:03.790,93003790,1183301,0.0,800,0.0,?,713086,0,0,15:04:32.597
000931.SZ,09:30:03.790,93003790,1183509,0.0,100,0.0,?,691222,0,0,15:04:32.597
000931.SZ,09:30:03.790,93003790,1183514,0.0,300,0.0,?,1042306,0,0,15:04:32.597
000931.SZ,09:30:03.800,93003800,1183797,0.0,500,0.0,?,0,1084440,0,15:04:32.597
000931.SZ,09:30:03.800,93003800,1183800,0.0,300,0.0,?,1084511,0,0,15:04:32.597
000931.SZ,09:30:03.800,93003800,1183857,0.0,100,0.0,?,785603,0,0,15:04:32.654
000931.SZ,09:30:03.800,93003800,1183974,0.0,100,0.0,?,808805,0,0,15:04:32.654
000931.SZ,09:30:03.800,93003800,1184185,0.0,400,0.0,?,0,956694,0,15:04:32.654
000931.SZ,09:30:03.810,93003810,1184500,0.0,200,0.0,?,691231,0,0,15:04:32.654
000931.SZ,09:30:03.810,93003810,1184790,0.0,200,0.0,?,754796,0,0,15:04:32.654
000931.SZ,09:30:03.810,93003810,1184842,0.0,100,0.0,?,809941,0,0,15:04:32.654
000931.SZ,09:30:03.810,93003810,1184844,0.0,200,0.0,?,808748,0,0,15:04:32.654
000931.SZ,09:30:03.820,93003820,1185346,0.0,200,0.0,?,0,1110423,0,15:04:32.654
000931.SZ,09:30:03.820,93003820,1185400,0.0,200,0.0,?,0,960604,0,15:04:32.654
000931.SZ,09:30:03.820,93003820,1185575,0.0,100,0.0,?,0,1064604,0,15:04:32.654
000931.SZ,09:30:03.830,93003830,1185673,0.0,100,0.0,?,686824,0,0,15:04:32.654
000931.SZ,09:30:03.830,93003830,1186034,0.0,100,0.0,?,707569,0,0,15:04:32.654
000931.SZ,09:30:03.840,93003840,1186334,0.0,700,0.0,?,0,978765,0,15:04:32.654
000931.SZ,09:30:04.030,93004030,1194353,0.0,200,0.0,?,718425,0,0,15:04:32.779
000931.SZ,09:30:04.050,93004050,1195364,0.0,5200,0.0,?,0,1121033,0,15:04:32.779
000931.SZ,09:30:04.060,93004060,1195527,0.0,300,0.0,?,1162515,0,0,15:04:32.779
000931.SZ,09:30:04.230,93004230,1203319,0.0,100,0.0,?,790292,0,0,15:04:32.886
000931.SZ,09:30:04.230,93004230,1203324,0.0,200,0.0,?,790439,0,0,15:04:32.886
000931.SZ,09:30:04.340,93004340,1208733,4.98,200,0.0996,S,1208732,1117910,0,15:04:32.964
000931.SZ,09:30:04.340,93004340,1208734,4.98,800,0.3984,S,1208732,1118064,0,15:04:32.964
000931.SZ,09:30:04.340,93004340,1208735,4.98,300,0.1494,S,1208732,1162480,0,15:04:32.964
000931.SZ,09:30:04.340,93004340,1208736,4.98,100,0.0498,S,1208732,1163637,0,15:04:32.964
000931.SZ,09:30:04.340,93004340,1208737,4.97,200,0.0994,S,1208732,72919,0,15:04:32.964
000931.SZ,09:30:04.340,93004340,1208738,4.97,200,0.0994,S,1208732,710512,0,15:04:32.964
000931.SZ,09:30:04.510,93004510,1221833,4.99,1000,0.499,B,1147053,1221832,0,15:04:33.188
000931.SZ,09:30:04.630,93004630,1227585,0.0,300,0.0,?,707934,0,0,15:04:33.188
000931.SZ,09:30:04.630,93004630,1227748,0.0,400,0.0,?,0,1136172,0,15:04:33.188
000931.SZ,09:30:04.650,93004650,1229237,0.0,700,0.0,?,694613,0,0,15:04:33.326
000931.SZ,09:30:04.670,93004670,1230226,4.99,100,0.0499,B,1147053,1230225,0,15:04:33.326
000931.SZ,09:30:04.710,93004710,1232815,0.0,400,0.0,?,1147076,0,0,15:04:33.326
000931.SZ,09:30:04.780,93004780,1236817,0.0,300,0.0,?,0,1118766,0,15:04:33.451
