code,raw_code,date,action_day,time,time_raw,status,price,open,high,low,pre_close,high_limited,low_limited,volume,turnover,num_trades,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,BidPrice6,BidVolume6,AskPrice6,AskVolume6,BidPrice7,BidVolume7,AskPrice7,AskVolume7,BidPrice8,BidVolume8,AskPrice8,AskVolume8,BidPrice9,BidVolume9,AskPrice9,AskVolume9,BidPrice10,BidVolume10,AskPrice10,AskVolume10,total_bid_vol,total_ask_vol,recv_time
000931.SZ,000931,20260422,20260422,08:00:00.000,80000000,0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:16.070
000931.SZ,000931,20260422,20260422,08:28:45.000,82845000,70,0.0,0.0,0.0,0.0,5.02,5.52,4.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:16.070
000931.SZ,000931,20260422,20260422,08:29:00.000,82900000,70,0.0,0.0,0.0,0.0,5.02,5.52,4.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:16.070
000931.SZ,000931,20260422,20260422,09:15:00.000,91500000,73,0.0,0.0,0.0,0.0,5.02,5.52,4.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:16.070
000931.SZ,000931,20260422,20260422,09:15:09.000,91509000,73,0.0,0.0,0.0,0.0,5.02,5.52,4.52,0,0.0,0,5.01,500,5.01,500,0.0,0,0.0,49500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:19.865
000931.SZ,000931,20260422,20260422,09:15:27.000,91527000,73,0.0,0.0,0.0,0.0,5.02,5.52,4.52,0,0.0,0,5.0,500,5.0,500,0.0,2200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:20.364
000931.SZ,000931,20260422,20260422,09:15:54.000,91554000,73,0.0,0.0,0.0,0.0,5.02,5.52,4.52,0,0.0,0,5.0,1700,5.0,1700,0.0,1000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:20.364
000931.SZ,000931,20260422,20260422,09:16:12.000,91612000,73,0.0,0.0,0.0,0.0,5.02,5.52,4.52,0,0.0,0,5.0,2200,5.0,2200,0.0,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:20.610
000931.SZ,000931,20260422,20260422,09:16:21.000,91621000,73,0.0,0.0,0.0,0.0,5.02,5.52,4.52,0,0.0,0,5.0,2700,5.0,2700,0.0,0,0.0,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:20.610
000931.SZ,000931,20260422,20260422,09:16:30.000,91630000,73,0.0,0.0,0.0,0.0,5.02,5.52,4.52,0,0.0,0,5.0,2400,5.0,2400,0.0,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,15:04:20.610
